sensitivity_label	analysis	network	component	condition_contrast	direction	participant	run	condition	dual_regression_label	stage2_beta
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-189	02	sham	subject00000	-0.303171
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-189	01	rtpj	subject00001	-0.498621
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-189	04	vlpfc	subject00002	-0.036734
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-189	03	both	subject00003	-0.103722
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-203	03	sham	subject00004	0.183294
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-203	04	rtpj	subject00005	-0.385335
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-203	01	vlpfc	subject00006	0.387526
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-203	02	both	subject00007	0.158447
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-207	02	sham	subject00008	-0.085471
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-207	01	rtpj	subject00009	-0.555837
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-207	04	vlpfc	subject00010	0.196277
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-207	03	both	subject00011	-0.074082
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-208	04	sham	subject00012	-0.8041
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-208	02	rtpj	subject00013	-0.567516
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-208	03	vlpfc	subject00014	0.458663
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-208	01	both	subject00015	0.509818
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-209	01	sham	subject00016	0.681004
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-209	03	rtpj	subject00017	-0.739071
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-209	02	vlpfc	subject00018	1.070499
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-209	04	both	subject00019	0.296689
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-210	03	sham	subject00020	0.323094
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-210	04	rtpj	subject00021	-0.28963
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-210	01	vlpfc	subject00022	0.329376
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-210	02	both	subject00023	-0.086183
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-211	04	sham	subject00024	0.491651
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-211	02	rtpj	subject00025	0.223605
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-211	03	vlpfc	subject00026	0.157652
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-211	01	both	subject00027	0.273969
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-213	01	sham	subject00028	-0.008171
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-213	03	rtpj	subject00029	-0.057877
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-213	02	vlpfc	subject00030	0.373641
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-213	04	both	subject00031	0.0848
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-214	04	sham	subject00032	-0.141371
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-214	02	rtpj	subject00033	-0.289568
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-214	03	vlpfc	subject00034	-0.13646
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-214	01	both	subject00035	-0.218272
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-215	02	sham	subject00036	0.064312
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-215	01	rtpj	subject00037	-0.164986
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-215	04	vlpfc	subject00038	0.083598
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-215	03	both	subject00039	0.25269
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-217	03	sham	subject00040	0.201662
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-217	04	rtpj	subject00041	-0.17042
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-217	01	vlpfc	subject00042	0.675919
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-217	02	both	subject00043	0.568814
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-218	01	sham	subject00044	0.567707
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-218	03	rtpj	subject00045	-0.637477
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-218	02	vlpfc	subject00046	0.388808
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-218	04	both	subject00047	-0.595795
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-219	04	sham	subject00048	-0.580248
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-219	02	rtpj	subject00049	-1.018448
none	smith09-reward_ppi-dmn-ecn	dmn-x-ecn	12	rtpj-minus-vlpfc	negative	sub-219	03	vlpfc	subject00050	0.617555
