sensitivity_label	analysis	network	component	condition_contrast	direction	participant	run	condition	dual_regression_label	stage2_beta
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-189	02	sham	subject00000	-0.532665
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-189	01	rtpj	subject00001	-0.68643
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-189	04	vlpfc	subject00002	-0.81965
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-189	03	both	subject00003	-0.077403
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-203	03	sham	subject00004	-1.196462
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-203	04	rtpj	subject00005	-1.39823
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-203	01	vlpfc	subject00006	-0.442521
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-203	02	both	subject00007	-1.086361
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-207	02	sham	subject00008	0.274277
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-207	01	rtpj	subject00009	0.195632
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-207	04	vlpfc	subject00010	-1.207885
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-207	03	both	subject00011	0.508096
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-208	04	sham	subject00012	-0.578434
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-208	02	rtpj	subject00013	-0.590509
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-208	03	vlpfc	subject00014	-1.323355
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-208	01	both	subject00015	-0.683633
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-209	01	sham	subject00016	-0.270213
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-209	03	rtpj	subject00017	-0.833278
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-209	02	vlpfc	subject00018	-1.600283
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-209	04	both	subject00019	-1.041567
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-210	03	sham	subject00020	-0.774346
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-210	04	rtpj	subject00021	-0.851853
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-210	01	vlpfc	subject00022	-1.215001
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-210	02	both	subject00023	-0.169363
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-211	04	sham	subject00024	-0.297831
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-211	02	rtpj	subject00025	-0.407823
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-211	03	vlpfc	subject00026	-0.460378
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-211	01	both	subject00027	0.253542
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-213	01	sham	subject00028	0.026808
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-213	03	rtpj	subject00029	0.280115
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-213	02	vlpfc	subject00030	-0.839836
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-213	04	both	subject00031	-0.260489
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-214	04	sham	subject00032	0.11702
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-214	02	rtpj	subject00033	-0.310495
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-214	03	vlpfc	subject00034	-0.784759
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-214	01	both	subject00035	-0.147612
none	smith09-reward	occipital-pole	2	both-minus-vlpfc	positive	sub-215	02	sham	subject00036	-0.121616
